case_id,description,preconditions,test_data,steps,api_response,expected_result,compare,db_verification,status,notes
BE-01,Create a new draft article,Authenticated author exists; category ut_category_child exists.,"{""title"":""Task 25 draft article"",""categoryId"":""ut_category_child"",""content"":[""Paragraph one"",""Paragraph two""],""status"":""DRAFT""}",POST /api/articles with author.owner@example.com bearer token.,"HTTP 201 {""success"":true,""data"":{""id"":""cmnpsk9ze0000k8uffsmua13g"",""title"":""Task 25 draft article"",""status"":""DRAFT"",""publishedAt"":null,""views"":0,""createdAt"":""2026-04-08T08:33:53.546Z"",""updatedAt"":""2026-04-08T08:33:53.546Z"",""author"":{""id"":""ut_author_owner"",""name"":""Author Owner""},""category"":{""id"":""ut_category_child"",""name"":""Knowledge Base""},""tags"":[],""content"":[""Paragraph one"",""Paragraph two""]}}",201 Created and one draft article persisted with one initial version snapshot.,"MATCH: status=201, beforeArticleCount=0, afterArticleCount=1, beforeVersionCount=0, afterVersionCount=1, articlePersisted=true, versionCount=1",beforeArticleCount=0; afterArticleCount=1; beforeVersionCount=0; afterVersionCount=1; articleId=cmnpsk9ze0000k8uffsmua13g; status=DRAFT; versionCount=1,PASS,Creation flow matches the requirement with before/after article and version persistence verified.
BE-02,Create article with missing required fields,Authenticated author exists.,"{""categoryId"":""ut_category_child"",""status"":""DRAFT""}",POST /api/articles without title and content.,"HTTP 400 {""success"":false,""error"":{""message"":""Title must be a string""}}",400 Bad Request and no article created.,"MATCH: status=400, articleCount=0",articleCount=0,PASS,Required field validation fired.
BE-03,Create article with maximum allowed title length,Authenticated author exists.,"{""title"":""TTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTT"",""categoryId"":""ut_category_child"",""content"":[""Boundary title article body""],""status"":""DRAFT"",""titleLength"":200}",POST /api/articles with a 200-character title.,"HTTP 201 {""success"":true,""data"":{""id"":""cmnpskadn0002k8uf7nk3dmoq"",""title"":""TTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTT"",""status"":""DRAFT"",""publishedAt"":null,""views"":0,""createdAt"":""2026-04-08T08:33:54.059Z"",""updatedAt"":""2026-04-08T08:33:54.059Z"",""author"":{""id"":""ut_author_owner"",""name"":""Author Owner""},""category"":{""id"":""ut_category_child"",""name"":""Knowledge Base""},""tags"":[],""content"":[""Boundary title article body""]}}",Success when title length is within the 200-character limit.,"MATCH: status=201, created=true",articleId=cmnpskadn0002k8uf7nk3dmoq; titleLength=200,PASS,Boundary title length is accepted.
BE-04,Create article with invalid data types,Authenticated author exists.,"{""title"":12345,""categoryId"":""ut_category_child"",""content"":42,""status"":""DRAFT""}",POST /api/articles with title as number and content as number.,"HTTP 400 {""success"":false,""error"":{""message"":""Title must be a string""}}",400 validation error and no article created.,"MATCH: status=400, articleCount=0",articleCount=0,PASS,Type validation blocks invalid payloads.
BE-05,Update draft article with autosave,Draft article ut_draft_autosave exists with one saved version.,"{""title"":""Autosave draft updated"",""content"":[""Updated body paragraph""]}",PATCH /api/articles/ut_draft_autosave with changed title and content.,"HTTP 200 {""success"":true,""data"":{""id"":""ut_draft_autosave"",""title"":""Autosave draft updated"",""status"":""DRAFT"",""publishedAt"":null,""views"":0,""createdAt"":""2026-04-08T08:33:54.489Z"",""updatedAt"":""2026-04-08T08:33:54.562Z"",""author"":{""id"":""ut_author_owner"",""name"":""Author Owner""},""category"":{""id"":""ut_category_child"",""name"":""Knowledge Base""},""tags"":[],""content"":[""Updated body paragraph""]}}",Draft content updated and one additional version snapshot created.,"MATCH: status=200, beforeTitle=Autosave draft, afterTitle=Autosave draft updated, beforeVersionCount=1, afterVersionCount=2","beforeTitle=Autosave draft; afterTitle=Autosave draft updated; beforeContent=[""Original body""]; afterContent=[""Updated body paragraph""]; beforeVersionCount=1; afterVersionCount=2",PASS,Changed autosave input produced the expected before/after article delta and a new version snapshot.
BE-06,Update article with identical content,Draft article ut_draft_same_content exists with one version snapshot.,"{""title"":""Same content draft"",""categoryId"":""ut_category_child"",""content"":[""Same content body""]}","PATCH /api/articles/ut_draft_same_content with unchanged title, category, and content.","HTTP 200 {""success"":true,""data"":{""id"":""ut_draft_same_content"",""title"":""Same content draft"",""status"":""DRAFT"",""publishedAt"":null,""views"":0,""createdAt"":""2026-04-08T08:33:54.787Z"",""updatedAt"":""2026-04-08T08:33:54.861Z"",""author"":{""id"":""ut_author_owner"",""name"":""Author Owner""},""category"":{""id"":""ut_category_child"",""name"":""Knowledge Base""},""tags"":[],""content"":[""Same content body""]}}",No new version should be created when content is identical.,"MATCH: status=200, actualVersionCount=1, expectedVersionCount=1",versionCount=1,PASS,Identical update avoided duplicate versioning.
BE-07,Update article with empty content,Draft article ut_draft_empty_content exists.,"{""content"":[]}",PATCH /api/articles/ut_draft_empty_content with empty content array.,"HTTP 400 {""success"":false,""error"":{""message"":""Content cannot be empty""}}",Validation error for empty content.,"MATCH: status=400, storedContent=[""Original draft body""], versionCount=1","storedContent=[""Original draft body""]; versionCount=1",PASS,Empty content was rejected.
BE-08,Retrieve notifications with limit,User author.owner@example.com has 25 unread notifications.,"{""userId"":""ut_author_owner"",""notificationCount"":25}",GET /api/notifications with author.owner@example.com bearer token.,"HTTP 200 {""success"":true,""data"":[{""id"":""ut_notification_25"",""type"":""ARTICLE_COMMENT"",""entityId"":""ut_article_25"",""isRead"":false,""createdAt"":""2026-04-08T12:00:24.000Z"",""message"":""Someone commented on your article.""},{""id"":""ut_notification_24"",""type"":""COMMENT_REPLY"",""entityId"":""ut_article_24"",""isRead"":false,""createdAt"":""2026-04-08T12:00:23.000Z"",""message"":""Someone replied to your comment.""},{""id"":""ut_notification_23"",""type"":""ARTICLE_COMMENT"",""entityId"":""ut_article_23"",""isRead"":false,""createdAt"":""2026-04-08T12:00:22.000Z"",""message"":""Someone commented on your article.""},{""id"":""ut_notification_22"",""type"":""COMMENT_REPLY"",""entityId"":""ut_article_22"",""isRead"":false,""createdAt"":""2026-04-08T12:00:21.000Z"",""message"":""Someone replied to your comment.""},{""id"":""ut_notification_21"",""type"":""ARTICLE_COMMENT"",""entityId"":""ut_article_21"",""isRead"":false,""createdAt"":""2026-04-08T12:00:20.000Z"",""message"":""Someone commented on your article.""},{""id"":""ut_notification_20"",""type"":""COMMENT_REPLY"",""entityId"":""ut_article_20"",""isRead"":false,""createdAt"":""2026-04-08T12:00:19.000Z"",""message"":""Someone replied to your comment.""},{""id"":""ut_notification_19"",""type"":""ARTICLE_COMMENT"",""entityId"":""ut_article_19"",""isRead"":false,""createdAt"":""2026-04-08T12:00:18.000Z"",""message"":""Someone commented on your article.""},{""id"":""ut_notification_18"",""type"":""COMMENT_REPLY"",""entityId"":""ut_article_18"",""isRead"":false,""createdAt"":""2026-04-08T12:00:17.000Z"",""message"":""Someone replied to your comment.""},{""id"":""ut_notification_17"",""type"":""ARTICLE_COMMENT"",""entityId"":""ut_article_17"",""isRead"":false,""createdAt"":""2026-04-08T12:00:16.000Z"",""message"":""Someone commented on your article.""},{""id"":""ut_notification_16"",""type"":""COMMENT_REPLY"",""entityId"":""ut_article_16"",""isRead"":false,""createdAt"":""2026-04-08T12:00:15.000Z"",""message"":""Someone replied to your comment.""},{""id"":""ut_notification_15"",""type"":""ARTICLE_COMMENT"",""entityId"":""ut_article_15"",""isRead"":false,""createdAt"":""2026-04-08T12:00:14.000Z"",""message"":""Someone commented on your article.""},{""id"":""ut_notification_14"",""type"":""COMMENT_REPLY"",""entityId"":""ut_article_14"",""isRead"":false,""createdAt"":""2026-04-08T12:00:13.000Z"",""message"":""Someone replied to your comment.""},{""id"":""ut_notification_13"",""type"":""ARTICLE_COMMENT"",""entityId"":""ut_article_13"",""isRead"":false,""createdAt"":""2026-04-08T12:00:12.000Z"",""message"":""Someone commented on your article.""},{""id"":""ut_notification_12"",""type"":""COMMENT_REPLY"",""entityId"":""ut_article_12"",""isRead"":false,""createdAt"":""2026-04-08T12:00:11.000Z"",""message"":""Someone replied to your comment.""},{""id"":""ut_notification_11"",""type"":""ARTICLE_COMMENT"",""entityId"":""ut_article_11"",""isRead"":false,""createdAt"":""2026-04-08T12:00:10.000Z"",""message"":""Someone commented on your article.""},{""id"":""ut_notification_10"",""type"":""COMMENT_REPLY"",""entityId"":""ut_article_10"",""isRead"":false,""createdAt"":""2026-04-08T12:00:09.000Z"",""message"":""Someone replied to your comment.""},{""id"":""ut_notification_9"",""type"":""ARTICLE_COMMENT"",""entityId"":""ut_article_9"",""isRead"":false,""createdAt"":""2026-04-08T12:00:08.000Z"",""message"":""Someone commented on your article.""},{""id"":""ut_notification_8"",""type"":""COMMENT_REPLY"",""entityId"":""ut_article_8"",""isRead"":false,""createdAt"":""2026-04-08T12:00:07.000Z"",""message"":""Someone replied to your comment.""},{""id"":""ut_notification_7"",""type"":""ARTICLE_COMMENT"",""entityId"":""ut_article_7"",""isRead"":false,""createdAt"":""2026-04-08T12:00:06.000Z"",""message"":""Someone commented on your article.""},{""id"":""ut_notification_6"",""type"":""COMMENT_REPLY"",""entityId"":""ut_article_6"",""isRead"":false,""createdAt"":""2026-04-08T12:00:05.000Z"",""message"":""Someone replied to your comment.""}]}",Only the latest 20 notifications should be returned.,"MATCH: status=200, returnedCount=20, expectedCount=20",dbNotificationCount=25,PASS,Notification list is capped.
BE-09,Retrieve notifications when none exist,Authenticated author exists with zero notifications.,"{""userId"":""ut_author_owner"",""notificationCount"":0}",GET /api/notifications with author.owner@example.com bearer token.,"HTTP 200 {""success"":true,""data"":[]}",Empty array returned.,"MATCH: status=200, returnedCount=0",dbNotificationCount=0,PASS,Empty-state notification response is correct.
BE-10,Increment view count with session deduplication,Published article ut_published_view_article exists.,"{""articleId"":""ut_published_view_article"",""cookie"":""ut_session=session-1"",""requestCount"":2}",GET /api/articles/ut_published_view_article twice with the same cookie header.,"first=HTTP 200 {""success"":true,""data"":{""id"":""ut_published_view_article"",""title"":""Published view article"",""status"":""PUBLISHED"",""publishedAt"":""2026-04-08T10:00:00.000Z"",""views"":0,""createdAt"":""2026-04-08T08:33:55.798Z"",""updatedAt"":""2026-04-08T08:33:55.798Z"",""author"":{""id"":""ut_author_owner"",""name"":""Author Owner""},""category"":{""id"":""ut_category_child"",""name"":""Knowledge Base""},""tags"":[],""content"":[""Public body""]}}; second=HTTP 200 {""success"":true,""data"":{""id"":""ut_published_view_article"",""title"":""Published view article"",""status"":""PUBLISHED"",""publishedAt"":""2026-04-08T10:00:00.000Z"",""views"":1,""createdAt"":""2026-04-08T08:33:55.798Z"",""updatedAt"":""2026-04-08T08:33:55.806Z"",""author"":{""id"":""ut_author_owner"",""name"":""Author Owner""},""category"":{""id"":""ut_category_child"",""name"":""Knowledge Base""},""tags"":[],""content"":[""Public body""]}}",View count increments only once for repeated reads in the same session.,"MATCH: firstStatus=200, secondStatus=200, storedViews=1, expectedViews=1",views=1,PASS,View counting is deduplicated per session.
