case_id,description,preconditions,test_data,steps,api_response,expected_result,compare,db_verification,status,notes
BE-01,Create a new draft article,Database reset; seeded author task25.author@example.com; category ut-category-child exists,"{""tokenUser"":""task25.author@example.com"",""payload"":{""title"":""Task 25 Newly Created Draft"",""categoryId"":""ut-category-child"",""content"":[""Fresh draft body for BE-01.""],""status"":""DRAFT""}}",POST /api/articles with author bearer token,"{""status"":201,""body"":{""success"":true,""data"":{""id"":""cmnpnqwjm000314ufldbgmdqn"",""title"":""Task 25 Newly Created Draft"",""status"":""DRAFT"",""publishedAt"":null,""views"":0,""createdAt"":""2026-04-08T06:19:04.642Z"",""updatedAt"":""2026-04-08T06:19:04.642Z"",""author"":{""id"":""ut-user-author"",""name"":""Task25 Author""},""category"":{""id"":""ut-category-child"",""name"":""Knowledge Base""},""tags"":[],""content"":[""Fresh draft body for BE-01.""]}}}",201 Created with article payload; a new draft row and initial version persist,Matched expected HTTP 201 and article persisted,"{""createdArticle"":{""id"":""cmnpnqwjm000314ufldbgmdqn"",""status"":""DRAFT""},""unusedProbe"":null}",PASS,Initial version creation is implicit in the service and not separately surfaced by the endpoint
BE-02,Create article with missing required fields,Database reset; seeded author task25.author@example.com,"{""tokenUser"":""task25.author@example.com"",""payload"":{""categoryId"":""ut-category-child"",""content"":[""Missing title case""]}}",POST /api/articles with missing title,"{""status"":400,""body"":{""success"":false,""error"":{""message"":""Title must be a string""}}}",400 Bad Request and no new article persisted,Matched expected validation failure,"{""articleCountForAuthor"":2}",PASS,
BE-03,Create article with maximum allowed title length,Database reset; seeded author task25.author@example.com,"{""tokenUser"":""task25.author@example.com"",""titleLength"":200,""payload"":{""title"":""TTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTT"",""categoryId"":""ut-category-child"",""content"":[""Boundary title length""],""status"":""DRAFT""}}",POST /api/articles with a 200-character title,"{""status"":201,""body"":{""success"":true,""data"":{""id"":""cmnpnqwrc000b14uf7sdvtpai"",""title"":""TTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTT"",""status"":""DRAFT"",""publishedAt"":null,""views"":0,""createdAt"":""2026-04-08T06:19:04.920Z"",""updatedAt"":""2026-04-08T06:19:04.920Z"",""author"":{""id"":""ut-user-author"",""name"":""Task25 Author""},""category"":{""id"":""ut-category-child"",""name"":""Knowledge Base""},""tags"":[],""content"":[""Boundary title length""]}}}",201 Created because title length remains within the allowed boundary,Matched expected boundary success,"{""createdArticle"":{""id"":""cmnpnqwrc000b14uf7sdvtpai"",""title"":""TTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTT""}}",PASS,
BE-04,Create article with invalid data types,Database reset; seeded author task25.author@example.com,"{""tokenUser"":""task25.author@example.com"",""payload"":{""title"":123,""categoryId"":""ut-category-child"",""content"":456,""status"":""DRAFT""}}",POST /api/articles with non-string title,"{""status"":400,""body"":{""success"":false,""error"":{""message"":""Title must be a string""}}}",400 validation error because title must be a string,Matched expected validation failure,"{""invalidArticleInserted"":false}",PASS,
BE-05,Update draft article with autosave-like PATCH,Database reset; seeded draft article ut-article-draft with one initial version,"{""tokenUser"":""task25.author@example.com"",""beforeVersions"":1,""payload"":{""title"":""Task 25 Draft Workspace Updated"",""content"":[""Updated draft body for BE-05.""],""categoryId"":""ut-category-child""}}",PATCH /api/articles/ut-article-draft,"{""status"":200,""body"":{""success"":true,""data"":{""id"":""ut-article-draft"",""title"":""Task 25 Draft Workspace Updated"",""status"":""DRAFT"",""publishedAt"":null,""views"":0,""createdAt"":""2026-04-08T06:19:05.093Z"",""updatedAt"":""2026-04-08T06:19:05.177Z"",""author"":{""id"":""ut-user-author"",""name"":""Task25 Author""},""category"":{""id"":""ut-category-child"",""name"":""Knowledge Base""},""tags"":[{""id"":""ut-tag-knowledge-base"",""name"":""knowledge-base""}],""content"":[""Updated draft body for BE-05.""]}}}","200 OK, draft content updated, and one additional version persisted",Matched expected update and version increment,"{""beforeVersions"":1,""afterVersions"":2,""persistedContent"":[""Updated draft body for BE-05.""]}",PASS,
BE-06,Update article with identical content,Database reset; seeded draft ut-article-draft with current content identical to request,"{""tokenUser"":""task25.author@example.com"",""beforeVersions"":1,""payload"":{""title"":""Task 25 Draft Workspace"",""content"":[""Initial draft paragraph."",""Autosave and version history scenarios start from this body.""],""categoryId"":""ut-category-child""}}",PATCH /api/articles/ut-article-draft with unchanged content,"{""status"":200,""body"":{""success"":true,""data"":{""id"":""ut-article-draft"",""title"":""Task 25 Draft Workspace"",""status"":""DRAFT"",""publishedAt"":null,""views"":0,""createdAt"":""2026-04-08T06:19:05.255Z"",""updatedAt"":""2026-04-08T06:19:05.336Z"",""author"":{""id"":""ut-user-author"",""name"":""Task25 Author""},""category"":{""id"":""ut-category-child"",""name"":""Knowledge Base""},""tags"":[{""id"":""ut-tag-knowledge-base"",""name"":""knowledge-base""}],""content"":[""Initial draft paragraph."",""Autosave and version history scenarios start from this body.""]}}}",200 OK and no additional version should be created when content is unchanged,"Mismatch: expected version count to remain 1, but actual count became 2","{""beforeVersions"":1,""afterVersions"":2}",FAIL,"Current implementation always records a snapshot on update, so this case is expected to fail until version deduplication is added"
BE-07,Update article with empty content,Database reset; seeded draft ut-article-draft,"{""tokenUser"":""task25.author@example.com"",""payload"":{""content"":[]}}",PATCH /api/articles/ut-article-draft with an empty body payload,"{""status"":200,""body"":{""success"":true,""data"":{""id"":""ut-article-draft"",""title"":""Task 25 Draft Workspace"",""status"":""DRAFT"",""publishedAt"":null,""views"":0,""createdAt"":""2026-04-08T06:19:05.380Z"",""updatedAt"":""2026-04-08T06:19:05.458Z"",""author"":{""id"":""ut-user-author"",""name"":""Task25 Author""},""category"":{""id"":""ut-category-child"",""name"":""Knowledge Base""},""tags"":[{""id"":""ut-tag-knowledge-base"",""name"":""knowledge-base""}],""content"":[]}}}",400 validation error and no content change should persist,"Mismatch: expected HTTP 400 with unchanged version count 1, got HTTP 200 and version count 2","{""beforeVersions"":1,""afterVersions"":2,""persistedContent"":[]}",FAIL,"The current article service only checks for undefined content, so an empty JSON array is accepted"
BE-08,Retrieve notifications with limit,Database reset; seeded task25.author@example.com with 25 notifications,"{""tokenUser"":""task25.author@example.com"",""seededNotifications"":25}",GET /api/notifications,"{""status"":200,""body"":{""success"":true,""data"":[{""id"":""ut-notification-author-01"",""type"":""ARTICLE_COMMENT"",""entityId"":""ut-article-published"",""isRead"":false,""createdAt"":""2026-04-08T06:19:05.503Z"",""message"":""Someone commented on your article.""},{""id"":""ut-notification-author-02"",""type"":""COMMENT_REPLY"",""entityId"":""ut-article-published"",""isRead"":false,""createdAt"":""2026-04-08T06:18:05.503Z"",""message"":""Someone replied to your comment.""},{""id"":""ut-notification-author-03"",""type"":""ARTICLE_COMMENT"",""entityId"":""ut-article-published"",""isRead"":false,""createdAt"":""2026-04-08T06:17:05.503Z"",""message"":""Someone commented on your article.""},{""id"":""ut-notification-author-04"",""type"":""COMMENT_REPLY"",""entityId"":""ut-article-published"",""isRead"":true,""createdAt"":""2026-04-08T06:16:05.503Z"",""message"":""Someone replied to your comment.""},{""id"":""ut-notification-author-05"",""type"":""ARTICLE_COMMENT"",""entityId"":""ut-article-published"",""isRead"":true,""createdAt"":""2026-04-08T06:15:05.503Z"",""message"":""Someone commented on your article.""},{""id"":""ut-notification-author-06"",""type"":""COMMENT_REPLY"",""entityId"":""ut-article-published"",""isRead"":true,""createdAt"":""2026-04-08T06:14:05.503Z"",""message"":""Someone replied to your comment.""},{""id"":""ut-notification-author-07"",""type"":""ARTICLE_COMMENT"",""entityId"":""ut-article-published"",""isRead"":true,""createdAt"":""2026-04-08T06:13:05.503Z"",""message"":""Someone commented on your article.""},{""id"":""ut-notification-author-08"",""type"":""COMMENT_REPLY"",""entityId"":""ut-article-published"",""isRead"":true,""createdAt"":""2026-04-08T06:12:05.503Z"",""message"":""Someone replied to your comment.""},{""id"":""ut-notification-author-09"",""type"":""ARTICLE_COMMENT"",""entityId"":""ut-article-published"",""isRead"":true,""createdAt"":""2026-04-08T06:11:05.503Z"",""message"":""Someone commented on your article.""},{""id"":""ut-notification-author-10"",""type"":""COMMENT_REPLY"",""entityId"":""ut-article-published"",""isRead"":true,""createdAt"":""2026-04-08T06:10:05.503Z"",""message"":""Someone replied to your comment.""},{""id"":""ut-notification-author-11"",""type"":""ARTICLE_COMMENT"",""entityId"":""ut-article-published"",""isRead"":true,""createdAt"":""2026-04-08T06:09:05.503Z"",""message"":""Someone commented on your article.""},{""id"":""ut-notification-author-12"",""type"":""COMMENT_REPLY"",""entityId"":""ut-article-published"",""isRead"":true,""createdAt"":""2026-04-08T06:08:05.503Z"",""message"":""Someone replied to your comment.""},{""id"":""ut-notification-author-13"",""type"":""ARTICLE_COMMENT"",""entityId"":""ut-article-published"",""isRead"":true,""createdAt"":""2026-04-08T06:07:05.503Z"",""message"":""Someone commented on your article.""},{""id"":""ut-notification-author-14"",""type"":""COMMENT_REPLY"",""entityId"":""ut-article-published"",""isRead"":true,""createdAt"":""2026-04-08T06:06:05.503Z"",""message"":""Someone replied to your comment.""},{""id"":""ut-notification-author-15"",""type"":""ARTICLE_COMMENT"",""entityId"":""ut-article-published"",""isRead"":true,""createdAt"":""2026-04-08T06:05:05.503Z"",""message"":""Someone commented on your article.""},{""id"":""ut-notification-author-16"",""type"":""COMMENT_REPLY"",""entityId"":""ut-article-published"",""isRead"":true,""createdAt"":""2026-04-08T06:04:05.503Z"",""message"":""Someone replied to your comment.""},{""id"":""ut-notification-author-17"",""type"":""ARTICLE_COMMENT"",""entityId"":""ut-article-published"",""isRead"":true,""createdAt"":""2026-04-08T06:03:05.503Z"",""message"":""Someone commented on your article.""},{""id"":""ut-notification-author-18"",""type"":""COMMENT_REPLY"",""entityId"":""ut-article-published"",""isRead"":true,""createdAt"":""2026-04-08T06:02:05.503Z"",""message"":""Someone replied to your comment.""},{""id"":""ut-notification-author-19"",""type"":""ARTICLE_COMMENT"",""entityId"":""ut-article-published"",""isRead"":true,""createdAt"":""2026-04-08T06:01:05.503Z"",""message"":""Someone commented on your article.""},{""id"":""ut-notification-author-20"",""type"":""COMMENT_REPLY"",""entityId"":""ut-article-published"",""isRead"":true,""createdAt"":""2026-04-08T06:00:05.503Z"",""message"":""Someone replied to your comment.""},{""id"":""ut-notification-author-21"",""type"":""ARTICLE_COMMENT"",""entityId"":""ut-article-published"",""isRead"":true,""createdAt"":""2026-04-08T05:59:05.503Z"",""message"":""Someone commented on your article.""},{""id"":""ut-notification-author-22"",""type"":""COMMENT_REPLY"",""entityId"":""ut-article-published"",""isRead"":true,""createdAt"":""2026-04-08T05:58:05.503Z"",""message"":""Someone replied to your comment.""},{""id"":""ut-notification-author-23"",""type"":""ARTICLE_COMMENT"",""entityId"":""ut-article-published"",""isRead"":true,""createdAt"":""2026-04-08T05:57:05.503Z"",""message"":""Someone commented on your article.""},{""id"":""ut-notification-author-24"",""type"":""COMMENT_REPLY"",""entityId"":""ut-article-published"",""isRead"":true,""createdAt"":""2026-04-08T05:56:05.503Z"",""message"":""Someone replied to your comment.""},{""id"":""ut-notification-author-25"",""type"":""ARTICLE_COMMENT"",""entityId"":""ut-article-published"",""isRead"":true,""createdAt"":""2026-04-08T05:55:05.503Z"",""message"":""Someone commented on your article.""}]}}",200 OK and only the latest 20 notifications returned,Mismatch: expected 20 notifications but received 25,"{""totalNotificationsInDb"":25,""notificationsReturned"":25}",FAIL,Current notification repository returns the full ordered list without a limit
BE-09,Retrieve notifications when none exist,Database reset; seeded task25.author@example.com with zero notifications,"{""tokenUser"":""task25.author@example.com"",""seededNotifications"":0}",GET /api/notifications,"{""status"":200,""body"":{""success"":true,""data"":[]}}",200 OK with an empty array,Matched expected empty notification list,"{""totalNotificationsInDb"":0,""notificationsReturned"":0}",PASS,
BE-10,Increment view count with session deduplication,Database reset; published article ut-article-published starts with 0 views,"{""articleId"":""ut-article-published"",""repeatedRequests"":2,""session"":""same anonymous client""}",GET /api/articles/ut-article-published twice from the same client session,"{""first"":{""status"":200,""body"":{""success"":true,""data"":{""id"":""ut-article-published"",""title"":""Launching article feedback from zero"",""status"":""PUBLISHED"",""publishedAt"":""2026-04-08T05:19:05.748Z"",""views"":0,""createdAt"":""2026-04-08T06:19:05.749Z"",""updatedAt"":""2026-04-08T06:19:05.749Z"",""author"":{""id"":""ut-user-author"",""name"":""Task25 Author""},""category"":{""id"":""ut-category-child"",""name"":""Knowledge Base""},""tags"":[{""id"":""ut-tag-knowledge-base"",""name"":""knowledge-base""}],""content"":[""Launch article feedback from zero."",""This article is used for task 25 backend and frontend verification.""]}}},""second"":{""status"":200,""body"":{""success"":true,""data"":{""id"":""ut-article-published"",""title"":""Launching article feedback from zero"",""status"":""PUBLISHED"",""publishedAt"":""2026-04-08T05:19:05.748Z"",""views"":1,""createdAt"":""2026-04-08T06:19:05.749Z"",""updatedAt"":""2026-04-08T06:19:05.778Z"",""author"":{""id"":""ut-user-author"",""name"":""Task25 Author""},""category"":{""id"":""ut-category-child"",""name"":""Knowledge Base""},""tags"":[{""id"":""ut-tag-knowledge-base"",""name"":""knowledge-base""}],""content"":[""Launch article feedback from zero."",""This article is used for task 25 backend and frontend verification.""]}}}}",Two 200 responses but the stored view count should increment only once per session,"Mismatch: expected view count 1 after repeated reads, actual view count is 2","{""finalViews"":2}",FAIL,The current implementation increments views on every published detail fetch and does not track session-level deduplication
